City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,sakiet sidi youssef,36.2229,8.3555,5.37,86,0,0.49,TN,1735510862
83,morondava,-20.2833,44.2833,26.15,84,96,1.8,MG,1735510863
84,albany,42.6001,-73.9662,10.32,98,100,2.19,US,1735510864
85,remire-montjoly,4.9167,-52.2667,26.02,94,100,1.03,GF,1735510866
86,benghazi,32.1167,20.0667,14.8,68,16,2.24,LY,1735510601
87,ulsteinvik,62.3432,5.8487,2.95,79,99,2.68,NO,1735510868
88,mellrichstadt,50.4333,10.3167,-2.79,75,10,1.14,DE,1735510869
89,hammerfest,70.6634,23.6821,1.25,75,0,2.57,NO,1735510871
90,kalmunai,7.4167,81.8167,24.14,92,94,3.38,LK,1735510872
91,klyuchi,52.2667,79.1667,-11.6,97,91,3.12,RU,1735510873
92,kokuy,52.2037,117.5529,-23.81,100,99,0.36,RU,1735510874
93,magistral'nyy,56.1725,107.4458,-11.89,93,98,2.5,RU,1735510875
94,falun,60.6036,15.626,5.23,97,100,2.24,SE,1735510821
95,east london,-33.0153,27.9116,23.61,92,84,6.19,ZA,1735510813
96,coron,11.9986,120.2043,26.92,79,100,6.27,PH,1735510879
97,suva,-18.1416,178.4415,27.71,74,75,2.06,FJ,1735510880
98,champerico,14.3,-91.9167,28.34,67,97,3.64,GT,1735510881
99,port macquarie,-31.4333,152.9167,25.6,70,1,1.79,AU,1735510883
100,fale old settlement,-9.3852,-171.2468,28.59,67,27,3.12,TK,1735510884
101,keflavik,64.0049,-22.5624,-6.76,68,0,6.17,IS,1735510886
102,jurm,36.8648,70.8342,-0.27,40,100,1.72,AF,1735510887
103,mahina,-17.5065,-149.489,29.87,62,64,4.12,PF,1735510888
104,la passe,45.5549,-0.8967,5.59,89,11,3.34,FR,1735510889
105,ushuaia,-54.8,-68.3,18.81,39,0,2.57,AR,1735510890
106,ixtapa,20.7,-105.2,24.57,65,0,4.63,MX,1735510892
107,nova sintra,14.8667,-24.7167,25.33,77,1,5.77,CV,1735510893
108,olonkinbyen,70.9221,-8.7187,-10.81,65,100,11.9,SJ,1735510894
109,puerto ayora,-0.7393,-90.3518,25.31,91,57,1.34,EC,1735510895
110,kapuskasing,49.4169,-82.4331,1.05,100,100,2.06,CA,1735510897
111,iskateley,67.6803,53.1512,-2.78,93,100,8.08,RU,1735510898
112,suluru,13.7,80.0167,21.94,94,36,3.17,IN,1735510900
113,haiku-pauwela,20.9219,-156.3051,25.14,71,40,8.75,US,1735510901
114,znamenka,52.4167,41.4311,-6.51,95,83,2.95,RU,1735510752
115,khandyga,62.6667,135.6,-48.05,100,54,0.74,RU,1735510903
116,port alfred,-33.5906,26.891,22.32,98,68,2.24,ZA,1735510905
117,floro,61.5996,5.0328,2.98,60,40,8.75,NO,1735510906
118,punta arenas,-53.15,-70.9167,17.06,48,0,3.09,CL,1735510907
119,manokwari,-0.8667,134.0833,26.09,84,100,4.4,ID,1735510908
120,touros,-5.1989,-35.4608,26.71,79,3,5.74,BR,1735510909
121,rockland,41.1668,-74.0496,9.39,95,100,1.62,US,1735510797
122,quellon,-43.1167,-73.6167,15.26,68,100,3.55,CL,1735510630
123,idri,27.5,13.2667,11.01,49,32,2.48,LY,1735510913
124,atafu village,-8.5421,-172.5159,28.29,72,13,2.73,TK,1735510915
125,alotau,-10.3069,150.4462,28.26,75,100,1.22,PG,1735510916
126,kone,-21.0595,164.8658,29.82,44,0,0.62,NC,1735510917
127,pisco,-13.7,-76.2167,22.03,73,0,10.29,PE,1735510918
128,polyarnyy,69.1989,33.4478,0.02,98,100,7.62,RU,1735510920
129,kirriemuir,56.674,-3.0034,9.19,87,100,9.62,GB,1735510922
130,tougan,13.0667,-3.0667,22.94,12,1,4.1,BF,1735510923
131,bredasdorp,-34.5322,20.0403,18.77,83,3,1.25,ZA,1735510924
132,sarmiento,-45.5882,-69.07,29.06,18,8,1.86,AR,1735510926
133,karonga,-9.9333,33.9333,24.48,80,100,1.24,MW,1735510927
134,volodarsk,56.2261,43.1861,-1.8,94,100,4.9,RU,1735510928
135,hamilton,39.1834,-84.5333,9.77,89,100,10.8,US,1735510651
136,alofi,-19.0595,-169.9187,28.94,65,20,4.12,NU,1735510931
137,lubango,-14.9172,13.4925,16.92,82,99,0.0,AO,1735510932
138,carolina beach,34.0352,-77.8936,16.15,94,98,0.89,US,1735510746
139,vilyuchinsk,52.9306,158.4028,-13.85,83,85,5.13,RU,1735510934
140,sao joao da barra,-21.6403,-41.0511,23.05,92,100,2.45,BR,1735510936
141,shimoda,34.6667,138.95,7.63,68,74,2.18,JP,1735510937
142,coquimbo,-29.9533,-71.3436,18.88,69,75,4.12,CL,1735510875
143,odacho-oda,35.1833,132.5,6.64,79,100,5.77,JP,1735510939
144,yerofey pavlovich,53.9667,121.9667,-26.35,99,90,0.55,RU,1735510941
145,tura,25.5198,90.2201,15.06,56,0,1.1,IN,1735510943
146,saint-pierre,-21.3393,55.4781,25.82,73,0,1.54,RE,1735510705
147,nongstoin,25.5167,91.2667,8.73,80,0,1.66,IN,1735510945
148,itamaraca,-7.7478,-34.8256,26.43,72,1,4.41,BR,1735510947
149,luanco,43.6152,-5.7934,8.71,91,21,2.19,ES,1735510948
150,badger,64.8,-147.5333,-29.86,80,8,1.09,US,1735510949
151,nikolayevsk-on-amure,53.1406,140.73,-29.93,98,55,1.78,RU,1735510950
152,hermanus,-34.4187,19.2345,16.56,84,45,0.32,ZA,1735510951
153,boda,4.3189,17.4695,26.48,37,41,1.41,CF,1735510952
154,dadeldhura,29.2984,80.5806,6.75,87,0,1.99,NP,1735510955
155,hadibu,12.65,54.0333,22.99,67,61,5.25,YE,1735510956
156,vershino-darasunskiy,52.35,115.5167,-24.1,100,37,1.75,RU,1735510957
157,talnakh,69.4865,88.3972,-16.2,96,99,3.25,RU,1735510958
158,aykhal,66.0,111.5,-26.87,98,100,3.11,RU,1735510959
159,tamanrasset,22.785,5.5228,11.95,17,0,4.63,DZ,1735510960
160,hawaiian paradise park,19.5933,-154.9731,26.05,75,20,3.6,US,1735510962
161,siwa oasis,29.2041,25.5195,14.47,50,95,3.92,EG,1735510964
162,dongsheng,39.8161,109.9776,-9.55,56,13,7.76,CN,1735510965
163,joensuu,62.6012,29.7632,2.27,93,75,4.12,FI,1735510967
164,zhangye,38.9342,100.4517,-13.85,75,95,1.99,CN,1735510940
165,mirnyy,62.5353,113.9611,-30.75,100,100,1.05,RU,1735510969
166,anadyr,64.75,177.4833,-9.72,67,100,15.0,RU,1735510970
167,yatou,37.15,122.3833,-0.33,52,58,2.64,CN,1735510971
168,shahr-e babak,30.1165,55.1186,8.19,63,100,3.27,IR,1735510973
169,la'ie,21.6477,-157.9253,27.75,81,45,3.58,US,1735510974
170,trairi,-3.2778,-39.2689,26.7,78,6,5.48,BR,1735510853
171,fort bragg,35.139,-79.006,15.46,94,100,7.2,US,1735510977
172,kimbe,-5.5502,150.1429,27.3,84,67,0.85,PG,1735510978
173,kiruna,67.8557,20.2251,-4.49,74,100,6.69,SE,1735510979
174,ust-nera,64.5667,143.2,-35.21,100,100,1.06,RU,1735510980
175,vernon,50.2581,-119.2691,2.74,89,100,0.51,CA,1735510981
176,tsiombe,-25.3,45.4833,24.81,82,1,3.27,MG,1735510983
177,tillicoultry,56.1525,-3.7402,9.89,84,100,10.84,GB,1735510984
178,yamada,39.4667,141.95,-2.56,75,63,1.34,JP,1735510985
179,tateyama,34.9833,139.8667,6.91,49,100,4.84,JP,1735510986
180,san patricio,28.017,-97.5169,26.97,26,0,0.68,US,1735510988
181,abepura,-2.6333,140.5833,26.45,94,20,1.54,ID,1735510989
182,port augusta,-32.5,137.7667,22.98,43,61,1.89,AU,1735510990
183,soverato marina,38.685,16.5499,9.24,78,0,2.8,IT,1735510991
184,puerto real,36.5282,-6.1901,12.36,81,20,2.06,ES,1735510993
185,miyako,39.6367,141.9525,-1.85,72,54,1.25,JP,1735510994
186,zaraza,9.3503,-65.3245,28.23,52,85,5.34,VE,1735510995
187,lihue,21.9789,-159.3672,25.77,67,100,7.72,US,1735510996
188,laguna,38.421,-121.4238,17.91,75,75,7.72,US,1735510999
189,eydhafushi,5.1033,73.0708,27.69,76,74,4.53,MV,1735511000
190,korsakov,46.6328,142.7813,-27.09,87,33,3.12,RU,1735511001
191,colonia,50.9333,6.95,1.65,93,100,2.57,DE,1735510709
192,beyneu,45.3167,55.2,-0.95,85,96,2.61,KZ,1735511004
193,murang'a,-0.7167,37.15,14.57,92,10,1.53,KE,1735511005
194,kuna,43.4918,-116.4201,9.49,80,75,1.34,US,1735511007
195,cosala,24.4125,-106.6908,30.55,14,0,2.75,MX,1735511008
196,fort mcmurray,56.7268,-111.381,-7.23,86,100,3.09,CA,1735511009
197,zhalantun,48.0,122.7167,-15.28,89,100,1.78,CN,1735511010
198,bairnsdale,-37.8333,147.6167,21.7,59,22,1.79,AU,1735511012
199,leh,34.1667,77.5833,-19.02,80,34,2.41,IN,1735511014
200,bermeo,43.4209,-2.7215,6.11,79,2,3.38,ES,1735511015
201,ulanhot,46.0833,122.0833,-14.17,90,25,2.13,CN,1735511018
202,zouerate,22.7187,-12.4521,16.91,20,3,5.96,MR,1735511019
203,puerto colombia,10.9878,-74.9547,28.05,79,100,4.62,CO,1735511020
204,bumba,2.1833,22.4667,24.41,44,47,0.78,CD,1735511021
205,sept-iles,50.2001,-66.3821,-0.53,95,100,3.09,CA,1735511023
